timestamp,open,high,low,close,volume
2019-10-01,0.3012,0.5,0.1816,0.1921,59738550.68
2019-11-01,0.193,0.262,0.1045,0.1102,117734251.6
2019-12-01,0.1104,0.1395,0.0804,0.0955,87980500.17
2020-01-01,0.0948,0.1127,0.0869,0.095,39479375.79
2020-02-01,0.0954,0.26,0.093,0.1218,147291925.18
2020-03-01,0.1216,0.166,0.043,0.0872,92370509.29
2020-04-01,0.0878,0.1158,0.0825,0.1031,57475023.06
2020-05-01,0.1025,0.166,0.0879,0.1336,90741730.14
2020-06-01,0.134,0.165,0.117,0.1325,88323383.79
2020-07-01,0.1332,0.1976,0.1232,0.173,176181852.97
2020-08-01,0.174,0.32,0.15,0.2496,241955360.74
2020-09-01,0.2499,0.2721,0.143,0.1614,183558286.57
2020-10-01,0.1615,0.186,0.1365,0.1605,51476130.59
2020-11-01,0.1603,0.2898,0.1401,0.242,156516167.03
2020-12-01,0.242,0.45,0.2243,0.396,262727663.49
2021-01-01,0.396,0.598,0.3867,0.4276,311624198.76
2021-02-01,0.4286,1.1996,0.4109,0.9315,478330096.58
2021-03-01,0.9316,1.4498,0.9222,1.2147,247521122.34
2021-04-01,1.2155,2.8499,1.1079,2.1836,433153216.94
2021-05-01,2.1826,2.2195,0.75,0.9983,229456466.17
2021-06-01,0.9983,1.0894,0.5,0.7897,180044532.53
2021-07-01,0.7913,1.4709,0.7308,1.2661,273043334.66
2021-08-01,1.2661,1.59,1.1985,1.43,137627826.92
2021-09-01,1.432,1.775,1.104,1.2,149755526.45
2021-10-01,1.2,2.815,1.174,1.843,367047413.75
2021-11-01,1.843,2.83,1.777,2.773,223008126.0
2021-12-01,2.772,3.256,1.758,2.166,159653223.1
2022-01-01,2.167,2.9,1.178,1.494,164284734.0
2022-02-01,1.494,1.784,0.973,1.246,72528814.3
2022-03-01,1.248,1.94,1.034,1.439,215099203.7
2022-04-01,1.438,1.575,0.916,0.918,78794040.3
2022-05-01,0.918,1.017,0.46,0.564,116923961.94
2022-06-01,0.565,0.587,0.302,0.41,169778808.9
2022-07-01,0.41,0.483,0.346,0.441,114333933.5
2022-08-01,0.441,0.544,0.352,0.364,101359712.7
2022-09-01,0.364,0.439,0.314,0.324,64671872.3
2022-10-01,0.324,0.345,0.283,0.318,55052899.0
2022-11-01,0.318,0.359,0.199,0.255,160007339.6
2022-12-01,0.255,0.38,0.204,0.209,183796768.6
2023-01-01,0.209,0.312,0.207,0.276,138796967.3
2023-02-01,0.276,0.979,0.266,0.8867,1239944119.6
2023-03-01,0.887,1.3115,0.5213,0.9307,1864832092.6
2023-04-01,0.9305,1.01,0.6702,0.7176,536756128.7
2023-05-01,0.7175,0.8277,0.5741,0.5998,633926603.8
2023-06-01,0.6001,0.8829,0.4371,0.6914,778931707.2
2023-07-01,0.6913,0.755,0.567,0.588,375129519.4
2023-08-01,0.5879,0.6353,0.4016,0.4905,372345811.3
2023-09-01,0.4906,0.504,0.4201,0.4802,311195589.7
2023-10-01,0.4802,0.752,0.4707,0.6253,528349848.0
2023-11-01,0.6255,0.7989,0.568,0.6915,607192835.6
2023-12-01,0.6918,1.7391,0.6815,1.4976,1290259138.3
2024-01-01,1.4976,2.0607,1.2,1.5008,842759352.7
2024-02-01,1.5008,3.39,1.4461,2.8963,610482770.48
2024-03-01,2.8976,3.798,2.2,3.6541,526167970.47
2024-04-01,3.6541,3.8464,2.07,2.1598,381716149.6
2024-05-01,2.1598,2.4664,1.8,1.831,328373570.1
2024-06-01,1.831,2.509,1.463,1.722,326345835.4
2024-07-01,1.723,2.05,1.245,1.729,250626207.6
2024-08-01,1.73,1.861,1.056,1.52,280266132.8
2024-09-01,1.521,2.074,1.316,1.841,222058395.3
2024-10-01,1.84,2.0,1.53,1.642,287987469.1
2024-11-01,1.642,2.41,1.405,2.314,545127396.4
2024-12-01,2.315,3.0212,1.439,1.537,723644099.9
2025-01-01,1.536,1.876,1.201,1.331,331090611.5
2025-02-01,1.331,1.345,0.709,0.831,346547785.7
2025-03-01,0.832,0.891,0.543,0.606,241938690.1
2025-04-01,0.607,0.933,0.477,0.815,316359005.1
2025-05-01,0.814,1.074,0.289,0.742,263663021.2
2025-06-01,0.742,0.802,0.522,0.659,189630294.2
2025-07-01,0.659,0.917,0.627,0.709,185222936.7
2025-08-01,0.709,0.81,0.61,0.62,151591568.3
2025-09-01,0.62,0.703,0.555,0.572,127006627.0
2025-10-01,0.572,0.675,0.201,0.4132,262285207.1
2025-11-01,0.4133,0.4528,0.2942,0.3076,248315530.7
2025-12-01,0.3076,0.3249,0.2748,0.2825,69105365.3
